                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1497,                 2.4338,                 1.8316,                0.44145,                 0.3402,                0.32099,                0.12758,                 2.0456,                 2.2143,                 1.8238,              0.0033302,              0.0033302,              0.0033302
                      2,                 1.9695,                 2.0027,                 1.6641,                0.46216,                0.38964,                0.37192,                0.15273,                 2.0289,                 2.0631,                 1.8044,              0.0065811,              0.0065811,              0.0065811
                      3,                 1.9713,                 1.9282,                  1.668,                0.45144,                0.39202,                0.33322,                0.12972,                  2.193,                 2.0765,                  1.899,              0.0097494,              0.0097494,              0.0097494
                      4,                 1.9789,                 1.9092,                 1.6843,                 0.5035,                0.43907,                0.42039,                0.17883,                 2.0494,                 1.8893,                 1.7851,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.9201,                 1.8159,                  1.648,                0.54734,                 0.4579,                0.45137,                0.19853,                   1.98,                 1.8341,                 1.7438,              0.0096288,              0.0096288,              0.0096288
                      6,                 1.8809,                 1.7389,                 1.6219,                0.60002,                 0.4782,                0.49736,                0.22603,                 1.9263,                  1.683,                  1.717,               0.009505,               0.009505,               0.009505
                      7,                  1.846,                 1.6855,                 1.5931,                0.63127,                0.50118,                0.52665,                0.24722,                 1.8963,                 1.6461,                 1.6991,              0.0093813,              0.0093813,              0.0093813
                      8,                 1.8225,                 1.6511,                  1.579,                0.59693,                0.50397,                 0.5086,                0.23677,                 1.8784,                 1.6485,                 1.6908,              0.0092575,              0.0092575,              0.0092575
                      9,                 1.7947,                 1.6081,                 1.5568,                0.64066,                0.51645,                0.53733,                0.25945,                 1.8353,                 1.6142,                 1.6461,              0.0091337,              0.0091337,              0.0091337
                     10,                 1.7843,                 1.5832,                 1.5486,                0.64267,                0.51238,                 0.5413,                0.25485,                  1.868,                 1.5622,                 1.6502,                0.00901,                0.00901,                0.00901
                     11,                 1.7603,                 1.5455,                 1.5305,                0.62577,                 0.5212,                0.53357,                0.26064,                 1.8289,                 1.5776,                 1.6419,              0.0088863,              0.0088863,              0.0088863
                     12,                 1.7481,                 1.5136,                 1.5168,                0.66617,                0.52873,                  0.563,                0.27421,                 1.8241,                 1.5216,                 1.6126,              0.0087625,              0.0087625,              0.0087625
                     13,                 1.7304,                 1.5017,                 1.5086,                0.67737,                0.54092,                0.57952,                0.28334,                 1.8115,                 1.4684,                 1.6302,              0.0086388,              0.0086388,              0.0086388
                     14,                 1.7213,                   1.48,                 1.5033,                0.67583,                0.54649,                 0.5868,                0.28756,                 1.7954,                  1.444,                   1.61,               0.008515,               0.008515,               0.008515
                     15,                  1.711,                 1.4647,                 1.4938,                0.68351,                0.55518,                0.59549,                0.29854,                 1.7704,                 1.4129,                  1.601,              0.0083913,              0.0083913,              0.0083913
                     16,                 1.7012,                 1.4466,                  1.489,                0.70128,                 0.5537,                0.59894,                  0.303,                  1.754,                 1.4053,                 1.5923,              0.0082675,              0.0082675,              0.0082675
                     17,                 1.6916,                 1.4279,                 1.4764,                0.69223,                0.57202,                0.60771,                0.30722,                 1.7476,                 1.3907,                 1.5735,              0.0081437,              0.0081437,              0.0081437
                     18,                  1.679,                  1.418,                 1.4737,                0.69235,                0.57242,                0.60664,                0.30604,                 1.7558,                 1.3695,                 1.5722,                0.00802,                0.00802,                0.00802
                     19,                 1.6689,                 1.4023,                  1.464,                0.69484,                0.56588,                0.60971,                0.31046,                 1.7298,                 1.3669,                  1.567,              0.0078963,              0.0078963,              0.0078963
                     20,                 1.6587,                 1.3834,                  1.458,                0.70771,                0.57153,                0.61627,                0.31492,                  1.724,                 1.3587,                 1.5615,              0.0077725,              0.0077725,              0.0077725
                     21,                 1.6521,                 1.3716,                 1.4518,                0.71387,                0.57173,                0.61681,                0.31793,                 1.7132,                 1.3453,                 1.5555,              0.0076488,              0.0076488,              0.0076488
                     22,                 1.6412,                 1.3588,                 1.4459,                0.70648,                0.58016,                0.62301,                0.32208,                 1.7089,                  1.327,                 1.5509,               0.007525,               0.007525,               0.007525
                     23,                 1.6348,                 1.3567,                 1.4443,                0.71083,                0.57856,                0.62166,                0.32146,                 1.7026,                 1.3311,                   1.55,              0.0074013,              0.0074013,              0.0074013
                     24,                 1.6305,                  1.346,                 1.4387,                0.71468,                0.57965,                0.62517,                0.32642,                 1.6933,                 1.3121,                 1.5403,              0.0072775,              0.0072775,              0.0072775
                     25,                 1.6349,                 1.3408,                 1.4406,                0.71434,                0.58094,                0.62691,                0.32867,                 1.6935,                  1.307,                 1.5408,              0.0071538,              0.0071538,              0.0071538
                     26,                 1.6152,                 1.3246,                 1.4309,                0.70691,                0.58996,                0.62982,                0.33041,                 1.6805,                 1.2985,                 1.5394,                0.00703,                0.00703,                0.00703
                     27,                 1.6085,                 1.3119,                 1.4227,                0.71716,                0.59372,                0.63345,                0.33126,                 1.6796,                 1.2879,                 1.5299,              0.0069063,              0.0069063,              0.0069063
                     28,                 1.6044,                 1.3051,                 1.4205,                0.71197,                0.59973,                 0.6345,                 0.3333,                 1.6871,                 1.2762,                 1.5356,              0.0067825,              0.0067825,              0.0067825
                     29,                 1.5954,                 1.2907,                  1.414,                 0.7186,                0.59481,                0.63689,                 0.3355,                 1.6741,                 1.2805,                 1.5258,              0.0066587,              0.0066587,              0.0066587
                     30,                 1.5936,                 1.2881,                 1.4143,                0.71874,                0.59372,                0.63584,                0.33473,                 1.6729,                 1.2815,                 1.5266,               0.006535,               0.006535,               0.006535
                     31,                 1.5835,                 1.2788,                 1.4077,                0.71782,                0.59753,                0.64021,                0.33843,                  1.668,                 1.2681,                 1.5262,              0.0064112,              0.0064112,              0.0064112
                     32,                  1.578,                 1.2651,                 1.4019,                0.72639,                0.59939,                0.64377,                0.34033,                 1.6559,                 1.2587,                 1.5213,              0.0062875,              0.0062875,              0.0062875
                     33,                 1.5724,                 1.2617,                 1.4003,                0.72702,                0.60658,                0.64494,                0.34047,                 1.6623,                 1.2565,                  1.522,              0.0061637,              0.0061637,              0.0061637
                     34,                  1.567,                 1.2507,                 1.3964,                0.71816,                0.60194,                0.64065,                0.33891,                 1.6595,                  1.257,                 1.5242,                0.00604,                0.00604,                0.00604
                     35,                 1.5552,                 1.2414,                 1.3898,                 0.7229,                0.60273,                 0.6433,                 0.3414,                 1.6586,                 1.2461,                 1.5214,              0.0059163,              0.0059163,              0.0059163
                     36,                 1.5586,                  1.245,                 1.3914,                0.72416,                0.60132,                0.64424,                0.34287,                 1.6581,                   1.25,                 1.5186,              0.0057925,              0.0057925,              0.0057925
                     37,                 1.5518,                 1.2335,                 1.3861,                0.72267,                0.60462,                0.64564,                0.34253,                 1.6627,                 1.2467,                 1.5173,              0.0056688,              0.0056688,              0.0056688
                     38,                 1.5441,                 1.2252,                 1.3797,                0.72961,                0.60602,                 0.6503,                0.34462,                 1.6567,                 1.2352,                 1.5154,               0.005545,               0.005545,               0.005545
                     39,                 1.5346,                 1.2106,                 1.3748,                0.73206,                 0.6066,                0.64969,                0.34525,                 1.6545,                   1.23,                 1.5149,              0.0054212,              0.0054212,              0.0054212
                     40,                 1.5345,                 1.2112,                 1.3762,                0.73023,                0.61061,                0.65105,                0.34484,                 1.6575,                  1.227,                 1.5136,              0.0052975,              0.0052975,              0.0052975
                     41,                 1.5312,                 1.2007,                 1.3725,                0.72725,                0.60848,                0.65021,                0.34487,                 1.6595,                 1.2277,                 1.5151,              0.0051737,              0.0051737,              0.0051737
                     42,                 1.5257,                 1.1937,                 1.3669,                0.73812,                0.60257,                 0.6504,                 0.3447,                 1.6604,                 1.2267,                 1.5184,                0.00505,                0.00505,                0.00505
                     43,                 1.5137,                 1.1843,                 1.3638,                0.72768,                0.61433,                0.65235,                0.34649,                 1.6592,                 1.2223,                 1.5181,              0.0049263,              0.0049263,              0.0049263
                     44,                 1.5164,                 1.1852,                 1.3629,                0.73635,                0.60678,                0.65268,                0.34698,                 1.6585,                 1.2214,                 1.5177,              0.0048025,              0.0048025,              0.0048025
                     45,                 1.5099,                 1.1809,                 1.3624,                0.73276,                0.60838,                0.65147,                0.34584,                 1.6589,                 1.2207,                 1.5177,              0.0046788,              0.0046788,              0.0046788
                     46,                 1.5087,                 1.1691,                 1.3567,                0.72838,                0.61205,                0.65086,                  0.346,                 1.6568,                 1.2207,                 1.5163,               0.004555,               0.004555,               0.004555
                     47,                  1.496,                 1.1546,                 1.3487,                0.73064,                0.61442,                0.65356,                  0.347,                 1.6562,                 1.2159,                 1.5165,              0.0044313,              0.0044313,              0.0044313
                     48,                 1.4967,                 1.1594,                 1.3493,                0.72967,                0.61175,                0.65484,                0.34735,                 1.6578,                 1.2122,                 1.5163,              0.0043075,              0.0043075,              0.0043075
                     49,                 1.4951,                 1.1603,                 1.3499,                0.73552,                0.60805,                0.65583,                0.34744,                  1.658,                 1.2129,                 1.5167,              0.0041837,              0.0041837,              0.0041837
                     50,                 1.4853,                 1.1377,                 1.3425,                0.73072,                0.61159,                0.65578,                0.34836,                 1.6579,                 1.2122,                 1.5149,                0.00406,                0.00406,                0.00406
                     51,                 1.4749,                 1.1391,                 1.3362,                0.73567,                0.60927,                0.65632,                0.34867,                 1.6576,                 1.2107,                 1.5152,              0.0039362,              0.0039362,              0.0039362
                     52,                 1.4691,                 1.1283,                 1.3324,                0.73079,                0.61127,                0.65612,                0.34879,                 1.6594,                 1.2094,                 1.5165,              0.0038125,              0.0038125,              0.0038125
                     53,                 1.4651,                 1.1268,                 1.3333,                0.73091,                0.61057,                0.65648,                0.34828,                 1.6593,                 1.2093,                 1.5168,              0.0036888,              0.0036888,              0.0036888
                     54,                 1.4662,                 1.1197,                 1.3322,                0.72811,                0.61482,                0.65707,                0.34781,                 1.6583,                 1.2084,                 1.5164,               0.003565,               0.003565,               0.003565
                     55,                 1.4575,                 1.1117,                 1.3241,                 0.7275,                0.61413,                0.65602,                0.34747,                 1.6592,                 1.2079,                  1.517,              0.0034413,              0.0034413,              0.0034413
                     56,                 1.4556,                 1.1133,                 1.3235,                0.72803,                 0.6172,                0.65698,                 0.3479,                 1.6605,                 1.2069,                  1.518,              0.0033175,              0.0033175,              0.0033175
                     57,                 1.4444,                 1.0935,                 1.3165,                0.72895,                 0.6172,                0.65739,                0.34793,                 1.6613,                 1.2064,                 1.5189,              0.0031938,              0.0031938,              0.0031938
                     58,                 1.4446,                 1.0931,                  1.316,                0.72929,                0.61631,                0.65763,                0.34777,                 1.6627,                 1.2051,                 1.5202,                0.00307,                0.00307,                0.00307
                     59,                 1.4372,                 1.0899,                 1.3123,                0.73562,                0.61116,                0.65704,                0.34812,                 1.6629,                 1.2045,                 1.5207,              0.0029462,              0.0029462,              0.0029462
                     60,                 1.4319,                 1.0803,                 1.3095,                 0.7357,                0.60945,                0.65679,                0.34809,                 1.6628,                 1.2039,                  1.521,              0.0028225,              0.0028225,              0.0028225
                     61,                 1.4236,                 1.0756,                 1.3059,                0.73806,                0.60686,                0.65692,                0.34764,                 1.6635,                 1.2034,                 1.5215,              0.0026987,              0.0026987,              0.0026987
                     62,                 1.4237,                 1.0746,                 1.3057,                0.74018,                0.60472,                 0.6567,                 0.3477,                 1.6645,                 1.2031,                 1.5222,               0.002575,               0.002575,               0.002575
                     63,                 1.4208,                 1.0667,                 1.3004,                0.74129,                0.60481,                0.65636,                0.34728,                  1.665,                 1.2024,                 1.5227,              0.0024513,              0.0024513,              0.0024513
                     64,                 1.4154,                 1.0572,                 1.2973,                0.74382,                0.60224,                0.65583,                0.34695,                 1.6657,                 1.2019,                 1.5233,              0.0023275,              0.0023275,              0.0023275
                     65,                 1.4027,                 1.0468,                  1.292,                0.74053,                0.60367,                0.65622,                0.34662,                 1.6664,                 1.2015,                 1.5237,              0.0022038,              0.0022038,              0.0022038
                     66,                 1.4009,                 1.0442,                 1.2899,                0.74283,                0.60323,                0.65586,                0.34646,                 1.6673,                 1.2006,                 1.5244,                0.00208,                0.00208,                0.00208
                     67,                 1.3948,                  1.037,                 1.2885,                0.74305,                0.60363,                0.65573,                 0.3462,                 1.6683,                    1.2,                 1.5252,              0.0019563,              0.0019563,              0.0019563
                     68,                  1.395,                 1.0421,                 1.2867,                0.74379,                 0.6028,                0.65571,                0.34642,                 1.6691,                 1.1994,                 1.5257,              0.0018325,              0.0018325,              0.0018325
                     69,                 1.3869,                 1.0353,                 1.2845,                 0.7407,                0.60551,                0.65594,                0.34618,                 1.6703,                 1.1989,                 1.5265,              0.0017087,              0.0017087,              0.0017087
                     70,                 1.3788,                 1.0233,                 1.2782,                0.73416,                0.61068,                0.65586,                0.34622,                  1.671,                 1.1984,                 1.5268,               0.001585,               0.001585,               0.001585
                     71,                 1.3577,                0.95819,                  1.288,                0.73284,                0.61091,                0.65536,                0.34604,                 1.6722,                 1.1986,                 1.5277,              0.0014612,              0.0014612,              0.0014612
                     72,                 1.3387,                0.93755,                 1.2778,                0.72957,                0.61393,                0.65532,                0.34601,                 1.6731,                 1.1982,                 1.5285,              0.0013375,              0.0013375,              0.0013375
                     73,                 1.3255,                0.92794,                 1.2708,                0.73072,                0.61314,                0.65484,                 0.3457,                 1.6741,                 1.1981,                 1.5291,              0.0012138,              0.0012138,              0.0012138
                     74,                  1.314,                0.91747,                 1.2664,                0.72851,                0.61383,                0.65459,                0.34582,                 1.6748,                 1.1975,                 1.5297,                0.00109,                0.00109,                0.00109
                     75,                 1.3061,                0.91017,                 1.2589,                0.72911,                0.61301,                0.65419,                0.34537,                 1.6756,                  1.197,                 1.5303,             0.00096625,             0.00096625,             0.00096625
                     76,                 1.2984,                0.90229,                 1.2567,                0.72876,                0.61254,                0.65388,                0.34542,                 1.6769,                 1.1968,                 1.5314,              0.0008425,              0.0008425,              0.0008425
                     77,                 1.2855,                0.89228,                 1.2503,                0.73038,                0.61185,                0.65365,                0.34537,                 1.6775,                 1.1965,                 1.5318,             0.00071875,             0.00071875,             0.00071875
                     78,                  1.285,                0.89068,                 1.2499,                0.72983,                0.61264,                 0.6537,                0.34499,                 1.6785,                 1.1965,                 1.5327,               0.000595,               0.000595,               0.000595
                     79,                  1.277,                 0.8831,                 1.2445,                0.72975,                0.61324,                0.65343,                0.34472,                 1.6796,                 1.1965,                 1.5333,             0.00047125,             0.00047125,             0.00047125
                     80,                 1.2688,                0.87376,                 1.2394,                0.72875,                 0.6135,                0.65314,                0.34428,                 1.6808,                 1.1966,                 1.5343,              0.0003475,              0.0003475,              0.0003475
